Designator,Mid X,Mid Y,Layer,Rotation
BZ1,177.174999,-42.975000,Top,0.000000
C1,12.000000,-88.000000,Top,0.000000
C2,107.884999,-114.455000,Top,0.000000
C3,120.664999,-114.705000,Top,0.000000
C4,125.514999,-114.705000,Top,0.000000
C5,136.694999,-114.455000,Top,0.000000
C6,141.104999,-114.455000,Top,0.000000
C7,71.464999,-114.455000,Top,0.000000
C8,75.874999,-114.455000,Top,0.000000
C9,80.284999,-114.455000,Top,0.000000
C10,89.104999,-114.455000,Top,0.000000
C11,97.924999,-114.455000,Top,0.000000
C12,63.610000,-104.225000,Top,0.000000
C13,78.595000,-104.225000,Top,0.000000
C14,71.434999,-122.405000,Top,0.000000
C15,80.254999,-122.405000,Top,0.000000
C16,154.284999,-47.455000,Top,0.000000
C17,141.054999,-47.455000,Top,0.000000
C18,125.704999,-87.705000,Top,0.000000
C19,148.000000,-90.000000,Top,0.000000
C20,121.074999,-87.455000,Top,0.000000
C21,99.055000,-87.455000,Top,0.000000
C22,112.314999,-87.455000,Top,0.000000
C23,70.000000,-76.500000,Top,-90.000000
C24,88.000000,-76.500000,Top,-90.000000
C25,106.000000,-76.500000,Top,-90.000000
C26,95.524999,-99.455000,Top,0.000000
C27,104.344999,-99.455000,Top,0.000000
C28,114.764999,-99.455000,Top,0.000000
C29,121.744999,-122.405000,Top,0.000000
C30,139.384999,-122.405000,Top,0.000000
C31,58.205000,-127.255000,Top,0.000000
C32,80.254999,-127.255000,Top,0.000000
C33,102.304999,-127.255000,Top,0.000000
C34,124.354999,-127.255000,Top,0.000000
C35,146.404999,-127.255000,Top,0.000000
C36,128.024999,-99.455000,Top,0.000000
C37,141.284999,-99.455000,Top,0.000000
D1,15.530000,-106.470000,Top,0.000000
D2,59.000000,-74.000000,Top,0.000000
D3,153.119999,-104.725000,Top,0.000000
D4,157.529999,-109.574999,Top,0.000000
D5,193.924999,-51.445000,Top,0.000000
D6,85.500000,-77.500000,Top,90.000000
D7,103.500000,-77.500000,Top,90.000000
D8,121.500000,-77.500000,Top,90.000000
D9,30.300000,-47.500000,Top,0.000000
D10,30.300000,-60.000000,Top,0.000000
D11,44.750000,-48.000000,Top,180.000000
D12,44.750000,-60.000000,Top,180.000000
D13,14.000000,-48.000000,Top,90.000000
D14,206.109999,-37.495000,Top,0.000000
D15,180.654999,-51.445000,Top,0.000000
D16,200.789999,-37.875000,Top,0.000000
D90,12.420000,-111.320000,Top,0.000000
J1,24.000000,-142.000000,Top,90.000000
J2,54.000000,-144.000000,Top,180.000000
J5,32.000000,-80.000000,Top,-90.000000
J6,172.000000,-145.000000,Top,-90.000000
J7,194.000000,-145.000000,Top,-90.000000
J8,207.000000,-132.000000,Top,90.000000
K1,68.000000,-140.000000,Top,0.000000
K2,94.000000,-140.000000,Top,0.000000
L1,114.164999,-116.975000,Top,0.000000
L2,58.000000,-88.000000,Top,0.000000
Q1,99.244999,-123.375000,Top,0.000000
Q2,152.655000,-100.425000,Top,0.000000
Q3,158.850000,-105.274999,Top,0.000000
Q4,190.605000,-38.425000,Top,0.000000
Q10,78.000000,-66.500000,Top,0.000000
Q11,96.000000,-66.500000,Top,0.000000
Q12,114.000000,-66.500000,Top,0.000000
Q90,15.114999,-100.370000,Top,0.000000
Q91,46.000000,-102.000000,Top,-90.000000
R1,10.204999,-106.050000,Top,0.000000
R2,145.514999,-114.455000,Top,0.000000
R3,149.924999,-114.455000,Top,0.000000
R4,67.054999,-114.455000,Top,0.000000
R5,84.694999,-114.455000,Top,0.000000
R6,48.500000,-93.800000,Top,0.000000
R7,54.000000,-104.000000,Top,90.000000
R8,93.514999,-114.455000,Top,0.000000
R9,126.154999,-122.405000,Top,0.000000
R10,154.334999,-114.455000,Top,0.000000
R11,58.205000,-122.405000,Top,0.000000
R12,62.615000,-122.405000,Top,0.000000
R13,67.024999,-122.405000,Top,0.000000
R14,75.844999,-122.405000,Top,0.000000
R15,84.664999,-122.405000,Top,0.000000
R16,89.074999,-122.405000,Top,0.000000
R17,104.104999,-122.405000,Top,0.000000
R18,108.514999,-122.405000,Top,0.000000
R19,166.000000,-124.000000,Top,0.000000
R20,157.515000,-99.455000,Top,0.000000
R21,120.000000,-140.000000,Top,0.000000
R22,136.000000,-140.000000,Top,0.000000
R23,152.204999,-109.154999,Top,0.000000
R24,18.000000,-64.000000,Top,-90.000000
R25,189.474999,-51.405000,Top,0.000000
R26,145.464999,-47.455000,Top,0.000000
R27,149.874999,-47.455000,Top,0.000000
R28,18.205000,-123.455000,Top,0.000000
R29,22.615000,-123.455000,Top,0.000000
R30,27.025000,-123.455000,Top,0.000000
R31,31.435000,-123.455000,Top,0.000000
R32,130.334999,-87.455000,Top,0.000000
R33,134.744999,-87.455000,Top,0.000000
R34,74.000000,-82.500000,Top,90.000000
R35,82.000000,-77.500000,Top,90.000000
R36,70.000000,-69.500000,Top,-90.000000
R37,92.000000,-82.500000,Top,90.000000
R38,100.000000,-77.500000,Top,90.000000
R39,88.000000,-69.500000,Top,-90.000000
R40,110.000000,-82.500000,Top,90.000000
R41,118.000000,-77.500000,Top,90.000000
R42,106.000000,-69.500000,Top,-90.000000
R43,99.934999,-99.455000,Top,0.000000
R44,112.924999,-122.405000,Top,0.000000
R45,117.334999,-122.405000,Top,0.000000
R46,130.564999,-122.405000,Top,0.000000
R47,134.974999,-122.405000,Top,0.000000
R48,143.794999,-122.405000,Top,0.000000
R49,148.204999,-122.405000,Top,0.000000
R50,152.614999,-122.405000,Top,0.000000
R51,157.024999,-122.405000,Top,0.000000
R52,62.615000,-127.255000,Top,0.000000
R53,67.024999,-127.255000,Top,0.000000
R54,71.434999,-127.255000,Top,0.000000
R55,75.844999,-127.255000,Top,0.000000
R56,84.664999,-127.255000,Top,0.000000
